SampleID	Library number	Library type	Library Name	Organism	Strain/Variety	Genome size [Mbp]	Requested no. of reads	Sequencing run condition	Analysis support	Comment	Template type	Concentration [ng/µl]	Conc. determined by	Volume [µl]	DNA/RNA dissolved in	Sample preparation protocol
G03	3989.W	RNA library incl. polyA enrichment	Col0-FeCl3_Live_Day8_Rep3	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	196.8	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
H03	3989.X	RNA library incl. polyA enrichment	f6h1-FeCl3_Live_Day8_Rep3	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	256.8	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
A04	3989.Y	RNA library incl. polyA enrichment	Col0-FeEDTA_HK_Day15_Rep1	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	979	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
B04	3989.Z	RNA library incl. polyA enrichment	f6h1-FeEDTA_HK_Day15_Rep1	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	464	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
C04	3989.AA	RNA library incl. polyA enrichment	Col0-FeEDTA_Live_Day15_Rep1	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	700	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
D04	3989.AB	RNA library incl. polyA enrichment	f6h1-FeEDTA_Live_Day15_Rep1	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	625	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
E04	3989.AC	RNA library incl. polyA enrichment	Col0-FeCl3_HK_Day15_Rep1	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	410	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
F04	3989.AD	RNA library incl. polyA enrichment	f6h1-FeCl3_HK_Day15_Rep1	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	136	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
G04	3989.AE	RNA library incl. polyA enrichment	Col0-FeCl3_Live_Day15_Rep1	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	244	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
H04	3989.AF	RNA library incl. polyA enrichment	f6h1-FeCl3_Live_Day15_Rep1	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	80	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
A05	3989.AG	RNA library incl. polyA enrichment	Col0-FeEDTA_HK_Day15_Rep2	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	925	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
B05	3989.AH	RNA library incl. polyA enrichment	f6h1-FeEDTA_HK_Day15_Rep2	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	616	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
C05	3989.AI	RNA library incl. polyA enrichment	Col0-FeEDTA_Live_Day15_Rep2	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	822	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
D05	3989.AJ	RNA library incl. polyA enrichment	f6h1-FeEDTA_Live_Day15_Rep2	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	439	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
E05	3989.AK	RNA library incl. polyA enrichment	Col0-FeCl3_HK_Day15_Rep2	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	137	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
F05	3989.AL	RNA library incl. polyA enrichment	f6h1-FeCl3_HK_Day15_Rep2	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	198	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
